rank,name,currency,issuer,md5,vol24hxrp,marketcap,holders,candidate_source,token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
21,WAFFL,574146464C000000000000000000000000000000,rfmzzPPU58nukrktDYe6M8wKrxeVb5hMNJ,30974f6183d2a4aa62388e398ffc9e5c,9474.468991,59025.4873524425,126,xrplto_current_vol24hxrp_top80,574146464C000000000000000000000000000000,rfmzzPPU58nukrktDYe6M8wKrxeVb5hMNJ,775,6,771,771,600,10,10
30,Laugh,4C61756768000000000000000000000000000000,r32nbPw6cyt3KdxinB4ua6WSLRrrF4SXAC,c82b41a8396f58461ed4f052bd2d8335,5253.557567,183897.53049390193,5426,xrplto_current_vol24hxrp_top80,4C61756768000000000000000000000000000000,r32nbPw6cyt3KdxinB4ua6WSLRrrF4SXAC,757,3,744,744,631,16,16
37,PONGO,504F4E474F000000000000000000000000000000,rwCq6TENSo3Hh9LKipXnLaxaeXBXKubqki,746acf2e1f71baf03e97e20f9cf45c30,4104.446338,59598.39453567829,6555,xrplto_current_vol24hxrp_top80,504F4E474F000000000000000000000000000000,rwCq6TENSo3Hh9LKipXnLaxaeXBXKubqki,349,10,343,343,245,16,16
54,UGA,UGA,rBFJGmWj6YaabVCxfsjiCM8pfYXs8xFdeC,46456dfa2d6e1a7385b76e4c50b8080b,2250.3354449999997,176861.29194705538,1621,xrplto_current_vol24hxrp_top80,UGA,rBFJGmWj6YaabVCxfsjiCM8pfYXs8xFdeC,301,3,297,297,226,7,7
31,RPLS,52504C5300000000000000000000000000000000,r93hE5FNShDdUqazHzNvwsCxL9mSqwyiru,b7a002a41eeb5cc8ce28030103a26c49,5231.015428,66243.33212284917,4304,xrplto_current_vol24hxrp_top80,52504C5300000000000000000000000000000000,r93hE5FNShDdUqazHzNvwsCxL9mSqwyiru,292,3,280,280,191,15,15
34,HEROES,4845524F45530000000000000000000000000000,rnMRqB8KgCFzaezP11AavUfJQstfCkNoAZ,2d6a90c0e8c33e1a0d9432e80882b052,4836.049999,42870.89331166576,591,xrplto_current_vol24hxrp_top80,4845524F45530000000000000000000000000000,rnMRqB8KgCFzaezP11AavUfJQstfCkNoAZ,210,4,164,164,153,55,50
48,BCHAMP,424348414D500000000000000000000000000000,rhYhn7s6z4HAfuJm7ehuSE7wxepRoUPwpi,d64c6f50786392b868ee036528a2d823,2605.030608,444795.4441493938,653,xrplto_current_vol24hxrp_top80,424348414D500000000000000000000000000000,rhYhn7s6z4HAfuJm7ehuSE7wxepRoUPwpi,198,0,191,191,159,7,7
51,AOX,AOX,r3SXB8pVDiUu7DWQEbCJ3ybwZsV7hszPoh,c1c75e804d5668064d1ecf9f7fd49e29,2378.711895,2704.1844056958384,124,xrplto_current_vol24hxrp_top80,AOX,r3SXB8pVDiUu7DWQEbCJ3ybwZsV7hszPoh,186,0,186,186,139,0,0
46,Gopnik,476F706E696B0000000000000000000000000000,rMDuA5zr2Ztsa8FFeaJriT7DLR1cnqnq7,f1d0c0b4e3dce5e81df2c25c30694edb,2813.240351,100469.38212883199,351,xrplto_current_vol24hxrp_top80,476F706E696B0000000000000000000000000000,rMDuA5zr2Ztsa8FFeaJriT7DLR1cnqnq7,100,1,96,96,79,5,5
35,Rolex,526F6C6578000000000000000000000000000000,rwqantZuYC3XiJkrpg2GiF1gEG2V8fNTga,8a47ba5e5455b476d76cb875cad29b39,4734.594789,1107.7081097073747,47,xrplto_current_vol24hxrp_top80,526F6C6578000000000000000000000000000000,rwqantZuYC3XiJkrpg2GiF1gEG2V8fNTga,4,0,4,4,2,0,0
9,GiB,GiB,rJ5PL1DYXyDuUPNzpSRq52Wz56jFZb8RuP,9b88eafd9cd5222ee8f7f988ede5b3b2,27326.827365,51190.99862628289,255,xrplto_current_vol24hxrp_top80,GiB,rJ5PL1DYXyDuUPNzpSRq52Wz56jFZb8RuP,3,0,3,3,3,0,0
12,STONKS,53544F4E4B530000000000000000000000000000,rzqFoyrbK8gaRBMBHDwj5dffNnMyz4LJk,b569b54108aa28c6cdf77d8e1618d56c,21049.789644,1055.4785260890435,135,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
14,SPREAD,5350524541440000000000000000000000000000,rPJbYjBw6oSaYzvTfWC81j51xH4pcjSbpc,2f79f9cb5081e6413bd1477dbfd57709,19162.369035,1711.1567953612168,124,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
19,GUARD,4755415244000000000000000000000000000000,rfMweBi69YbBM8uhHnQRjY1JDevmtM6SHB,416d8caae6c77a80370a75a219e39ea7,11433.747208,2200.521840088333,57,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
20,rari,7261726900000000000000000000000000000000,rGrnmP7jAqbiDweX45xQV9Jm2Q4rYDPa9P,bcea1c5d47e6a157ee9a9edcc3947f3c,10733.658477,758.3565704494349,36,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
26,AmericaFirst,416D657269636146697273740000000000000000,r4GD2HMVKJWhfzvgHcUL6frneuUACAzqwo,affa7ca5c5db137a40a9e65b6197a297,7635.38384,131649.9138740078,387,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
27,SHX,SHX,rfmS3zqrQrka8wVyhXifEeyTwe8AMz2Yhw,9b4ddc2e62f736881eef8f9f02812dbc,7157.576327,702419.3810667582,152,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
39,HOLOW,484F4C4F57000000000000000000000000000000,r3oyyWFzHJeTRfXxyYP921z4hafFU9AWHA,29853fa97a41f1e5b9c9480194eccc6a,3992.336688,8956.618709880218,122,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
43,HANTA,48414E5441000000000000000000000000000000,rDuzBDWxQ5CdwiMiQgnZ9or2drcAhU8Nv,c21c3373a985f065006d5fad583f0295,3070.898054,1027.17240793595,53,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
47,ASRD,4153524400000000000000000000000000000000,rKvzWGaa6C4Zad2fKZXXwPSH4gfZWcGLCe,b8dafffa39808ac869856eec6a8560cb,2770.315078,5980.9199689372945,177,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
53,RTINI,5254494E49000000000000000000000000000000,rMYHM9VC9Jq74Uy3UVFq8T3jL7DVG8ZRSJ,9047394c72096c5116b6d7112bd9ebc1,2321.483132,319.22376316381764,41,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
55,PAIN,5041494E00000000000000000000000000000000,rJsUddDTqrQTUik8crhwTrCNNRtoSKKytw,d46bac7844bb6b4a16ed1faae36c9231,2012.954676,3606.591884614291,151,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
57,PANCHI,50414E4348490000000000000000000000000000,rGpPvbgMmgwoApSh6P1r9abNsPnkLyKc4i,22835f44a7e7108dcdfee5cad37fcaf2,1961.5477,6122.579780166826,109,xrplto_current_vol24hxrp_top80,,,0,0,0,0,0,0,0
