balanced_rank,token_label,token_currency,token_issuer,dex_tx_count,amm_tx_count,clob_tx_count,both_sides_min_tx,both_sides_hmean_tx,balance_ratio,overlap_tx_count,overlap_share_of_min,amm_unique_ledger_count
59,SGB,SGB,rctArjqVvTHihekzDeecKo6mkTYTUSBNc,1386,1263,149,149,266.55382436260624,0.11797307996832937,26,0.174496644295302,1041
60,NXS,NXS,rNexusA23ZQdtejTCeHZZaiKoJRsrnXboq,32613,129,32491,129,256.9797057020233,0.003970330245298698,7,0.05426356589147287,97
61,BEAR,4245415200000000000000000000000000000000,rBEARGUAsyu7tUw53rufQzFdWmJHpJEqFW,2506,2406,128,128,243.06866614048934,0.05320033250207814,28,0.21875,1782
62,POPU,504F505500000000000000000000000000000000,rGX1MwPy7qmoU1EgTQUuZU5K1YMKsmS2F6,490,417,128,128,195.87522935779816,0.3069544364508393,55,0.4296875,290
63,$RIPWALK,2452495057414C4B000000000000000000000000,rMiNfhnZujVw4Xbz2B4oyT6mb6sEuoBDAV,28747,126,28622,126,250.89550577431473,0.004402208091677731,1,0.007936507936507936,108
64,FLR,FLR,rcxJwVnftZzXqyH9YheB8TgeiZUhNo1Eu,1049,930,126,126,221.9318181818182,0.13548387096774195,7,0.05555555555555555,732
65,XHO,XHO,r9rCp6XCn3WiHWjMUs7c1GBZ85VsCFX4Ur,30942,122,30830,122,243.03825277849575,0.003957184560493026,10,0.08196721311475409,88
66,JESTER,4A45535445520000000000000000000000000000,rsax5bX1Z3ks7KBsApepAoCuX177aYAhwV,2496,2407,122,122,232.22933965994463,0.05068550062318238,33,0.27049180327868855,1622
67,SPY,SPY,rnmJEi7hzEL34R7x48e732qvSnmF5wsLtQ,29828,119,29712,119,237.05058496195232,0.00400511577813678,3,0.025210084033613446,91
68,XAG,XAG,rpG9E7B3ocgaKqG7vmrsu3jmGwex8W4xAG,476,401,109,109,171.4078431372549,0.2718204488778055,34,0.3119266055045872,315
