token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
4247414C00000000000000000000000000000000,rHSXedtYY9iEyD7H61qhGbCovamRFtYcBm,1271,4,1270,1270,854,5,5
4368617274790000000000000000000000000000,rwMBH32HJzUH6ziU8tKnF5JqWGYWesDiUC,1270,0,1270,1270,699,0,0
4245525400000000000000000000000000000000,rpwAnF1mMZRszxdinETFHwzGQiPgsv3jHR,1258,5,1239,1239,722,25,24
5553444300000000000000000000000000000000,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu,1250,10,851,851,693,414,409
544F544F00000000000000000000000000000000,r9sH6YEVRyg8uYaKfyk1EfH36Lfq7a8PUD,1198,5,1195,1195,817,8,8
MDS,rGF4scYCuPQQGNzk7SX9pnN6GaTbRRqxnx,1195,10,1185,1185,898,22,20
5045504500000000000000000000000000000000,rJEApMjV7KVVopB8NB1WXQpQYVu84vRGTa,1190,2,1170,1170,748,23,22
AMM,rpooLMxfvoEPZcPxCfijtK3ZWaux1N1oVL,1148,6,934,934,744,220,220
5852646F67650000000000000000000000000000,rLqUC2eCPohYvJCEBJ77eCCqVL2uEiczjA,1108,18,1082,1082,854,70,44
42554C4C43454D42455200000000000000000000,rhpPgTbu4eTsUMFzbpRSXT1QtH2KpCLxBF,1107,15,1099,1099,644,24,23
5349474D41000000000000000000000000000000,rfKYWZ84fm9eVEdoTcsQCo1WdqMPyaUF5z,1106,5,1083,1083,794,28,28
USD,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B,1097,87,788,788,673,504,396
5553445400000000000000000000000000000000,rGbUjUtNVq5M3Un5r4efJqHed4o5P2Usdt,1084,130,895,895,806,345,319
VGB,rhcyBrowwApgNonehKBj8Po5z4gTyRknaU,1075,83,953,953,646,256,205
USD,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,1072,53,727,727,679,432,398
XDC,rL2mB7aK22Fdzvx7Hp277cJcvPNC2V3QeF,1061,2,1060,1060,878,3,3
416D657269636100000000000000000000000000,rpVajoWTXFkKWY7gtWSwcpEcpLDUjtktCA,1057,2,1056,1056,880,3,3
FLR,rcxJwVnftZzXqyH9YheB8TgeiZUhNo1Eu,1049,7,930,930,732,131,126
534F4C3538390000000000000000000000000000,rE6EJTJLJY6jdcHCJgUegFMf67u5ovu3wm,1003,14,994,994,733,23,23
LNX,rB7y5hdKf6yPUQJPG7E7wMpbTjjzZNaDZz,1002,6,1001,1001,534,7,7
5355425354524154450000000000000000000000,rfBeRtiWxBRkqHtmd8y9t9geiizVeLh9Mk,989,29,958,958,666,62,60
2431303000000000000000000000000000000000,r3DpSSDVaLWr18pnf1tbTN3UPvfHTUoKVn,980,1,980,980,501,1,1
5852506F6E534F4C000000000000000000000000,rMyqebK5tiNZgwV3Dzrr3KRsmqbowDPE6X,980,8,975,975,690,13,13
53414E4100000000000000000000000000000000,rpq5hzHCqquRes1QehyHSSJHeQApo7QzxN,966,0,966,966,781,0,0
504152524F540000000000000000000000000000,rwN1Fmfjr3LfLyDRUHLEdJVvRLYqpCZQZh,964,2,964,964,593,2,2
4352415000000000000000000000000000000000,rDpyFiCNn7m5Y4zqzP5W1bUUGG4SEffnom,957,0,957,957,473,0,0
554E495445000000000000000000000000000000,rQKSaCbjYGdYosuPSLLTjzHN19Gwtyx4U6,953,0,953,953,701,0,0
4D6174636820537469636B000000000000000000,rwrsUT6ynqimffkxd6tAohFRDGHgGFmFjc,951,0,951,951,806,0,0
6942544300000000000000000000000000000000,rGcyRGrZPaJAZbZDi4NqRFLA5GQH63iFpD,947,2,752,752,736,199,197
